Serial_Num,Year,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
2004312S05085,2005,03, SI, MM,AROLA,2004-11-12 00:00:00, TS,-11.60,  73.60, 35.0,  997.0,reunion,  43.067,  39.389,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-12 06:00:00, TS,-12.00,  73.20, 33.0,  999.0,reunion,  41.992,  33.610,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-12 12:00:00, TS,-12.50,  72.10, 30.0, 1000.0,reunion,  34.267,  24.168,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-12 18:00:00, TS,-12.70,  71.20, 30.0, 1001.0,reunion,  34.267,  22.515,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-13 00:00:00, TS,-12.90,  70.40, 27.0, 1002.0,reunion,  27.208,  17.753,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-13 06:00:00, TS,-13.00,  69.50, 25.0, 1003.0,reunion,  16.100,  14.432,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-13 12:00:00, TS,-13.10,  68.70, 25.0, 1004.0,reunion,  16.100,  11.030,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-13 18:00:00, TS,-13.20,  68.10, 25.0, 1005.0,reunion,  16.100,   7.684,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-14 00:00:00, TS,-13.30,  67.50, 25.0, 1005.0,reunion,  16.100,   7.684,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-14 06:00:00, TS,-13.40,  66.80, 25.0, 1005.0,reunion,  16.100,   7.684,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-14 12:00:00, TS,-13.60,  66.30, 25.0, 1005.0,reunion,  16.100,   7.684,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-14 18:00:00, TS,-13.70,  65.90, 20.0, 1006.0,reunion,   1.350,   5.283,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-15 00:00:00, TS,-13.80,  65.20, 20.0, 1006.0,reunion,   1.350,   5.283,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-15 06:00:00, TS,-14.00,  64.70, 20.0, 1006.0,reunion,   1.350,   5.283,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-15 12:00:00, TS,-14.20,  64.30, 20.0, 1006.0,reunion,   1.350,   5.283,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-15 18:00:00, TS,-14.20,  63.80, 20.0, 1007.0,reunion,   1.350,   3.549,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-16 00:00:00, TS,-14.10,  63.30, 20.0, 1007.0,reunion,   1.350,   3.549,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-16 06:00:00, TS,-14.00,  62.60, 20.0, 1008.0,reunion,   1.350,   2.084,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-16 12:00:00, TS,-14.10,  62.00, 20.0, 1008.0,reunion,   1.350,   2.084,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-16 18:00:00, TS,-14.10,  61.10, 20.0, 1008.0,reunion,   1.350,   2.084,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-17 00:00:00, TS,-14.10,  59.90, 20.0, 1009.0,reunion,   1.350,   1.368,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-17 06:00:00, TS,-14.10,  59.20, 20.0, 1009.0,reunion,   1.350,   1.368,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-17 12:00:00, TS,-14.10,  58.00, 20.0, 1009.0,reunion,   1.350,   1.368,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-17 18:00:00, TS,-13.90,  56.60, 20.0, 1010.0,reunion,   1.350,   0.586,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-18 00:00:00, TS,-13.50,  55.20, 20.0, 1010.0,reunion,   1.350,   0.586,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-18 06:00:00, TS,-13.10,  54.00, 20.0, 1010.0,reunion,   1.350,   0.586,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-18 12:00:00, TS,-12.60,  53.00, 20.0, 1010.0,reunion,   1.350,   0.586,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-18 18:00:00, TS,-11.80,  51.50, 20.0, 1011.0,reunion,   1.350,   0.423,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-19 12:00:00, TS, -6.10,  77.90, 20.0, 1007.0,reunion,   1.350,   3.549,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-19 18:00:00, TS, -6.50,  78.00, 20.0, 1006.0,reunion,   1.350,   5.283,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-20 00:00:00, TS, -6.90,  78.10, 20.0, 1005.0,reunion,   1.350,   7.684,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-20 06:00:00, TS, -7.30,  78.10, 25.0, 1004.0,reunion,  16.100,  11.030,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-20 12:00:00, TS, -7.80,  78.10, 25.0, 1003.0,reunion,  16.100,  14.432,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-20 18:00:00, TS, -7.90,  78.50, 25.0, 1002.0,reunion,  16.100,  17.753,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-21 00:00:00, TS, -8.00,  78.80, 30.0, 1000.0,reunion,  34.267,  24.168,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-21 06:00:00, TS, -8.00,  79.10, 33.0,  998.0,reunion,  41.992,  35.914,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-21 12:00:00, TS, -8.20,  79.10, 35.0,  996.0,reunion,  43.067,  46.015,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-21 18:00:00, TS, -8.60,  78.70, 43.0,  992.0,reunion,  63.433,  53.407,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-22 00:00:00, TS, -8.70,  78.40, 50.0,  987.0,reunion,  71.975,  66.178,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-22 06:00:00, TS, -8.90,  77.80, 55.0,  982.0,reunion,  78.500,  74.872,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-22 12:00:00, TS, -8.70,  77.20, 65.0,  972.0,reunion,  85.908,  83.736,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-22 18:00:00, TS, -8.40,  76.70, 85.0,  950.0,reunion,  94.442,  93.553,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-23 00:00:00, TS, -8.30,  76.30,100.0,  932.0,reunion,  98.133,  97.387,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-23 06:00:00, TS, -8.30,  75.80,110.0,  920.0,reunion,  99.267,  99.210,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-23 12:00:00, TS, -8.50,  75.20,115.0,  915.0,reunion,  99.608,  99.422,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-23 18:00:00, TS, -8.50,  74.70,115.0,  915.0,reunion,  99.608,  99.422,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-24 00:00:00, TS, -8.90,  74.30,110.0,  920.0,reunion,  99.267,  99.210,main
